QMD,NADA_geosptial_metadata
qgis/language,description/language
qgis/type,description/hierarchyLevel
qgis/title,description/identificationInfo/citation/title
qgis/abstract,description/identificationInfo/abstract
qgis/keywords/keyword,tags/tag
qgis/contact/name,description/contact/individualName
qgis/contact/organization,description/contact/organisationName
qgis/contact/position,description/contact/positionName
qgis/contact/role,description/contact/role
qgis/contact/voice,description/contact/contactInfo/phone/voice
qgis/contact/fax,description/contact/contactInfo/phone/facsimile
qgis/contact/email,description/contact/contactInfo/address/elctronicMailAddress
qgis/links,description/contact/contactInfo/onlineResource/linkage
qgis/crs/spatialrefsys/authid,description/referenceSystemInfo/code
qgis/extent/spatial/@dimensions,description/spatialRepresentationInfo/gridSpatialRepresentation/axisDimensionProperties/dimensionSize
qgis/extent/temporal/period/start,description/identificationInfo/extent/temporalElement/extent
qgis/extent/temporal/period/end,description/identificationInfo/extent/temporalElement/extent